N1.562O.42C.0003Ar.0094,Density=0.1200E-02,
"Energy(eV),","Delta,",Beta
1785.80212,8.11E-08,4.83E-09
1793.43481,8.04E-08,4.75E-09
1801.1001,7.97E-08,4.67E-09
1808.79822,7.90E-08,4.60E-09
1816.5293,7.83E-08,4.52E-09
1824.29321,7.76E-08,4.45E-09
1832.09045,7.69E-08,4.37E-09
1839.92102,7.63E-08,4.30E-09
1847.78503,7.56E-08,4.23E-09
1855.68262,7.50E-08,4.16E-09
1863.61401,7.43E-08,4.10E-09
1871.57935,7.37E-08,4.03E-09
1879.57861,7.30E-08,3.96E-09
1887.61206,7.24E-08,3.90E-09
1895.67993,7.18E-08,3.83E-09
1903.78223,7.12E-08,3.77E-09
1911.91919,7.05E-08,3.71E-09
1920.09106,6.99E-08,3.65E-09
1928.29761,6.93E-08,3.59E-09
1936.53943,6.87E-08,3.53E-09
1944.81641,6.81E-08,3.47E-09
1953.12866,6.76E-08,3.42E-09
1961.47656,6.70E-08,3.36E-09
1969.86011,6.64E-08,3.31E-09
1978.27942,6.58E-08,3.25E-09
1986.73486,6.52E-08,3.20E-09
1995.22644,6.47E-08,3.15E-09
2003.75415,6.41E-08,3.10E-09
2012.31836,6.36E-08,3.05E-09
2020.91931,6.30E-08,3.00E-09
2029.55701,6.25E-08,2.95E-09
2038.23132,6.19E-08,2.90E-09
2046.94299,6.14E-08,2.85E-09
2055.69189,6.09E-08,2.81E-09
2064.47827,6.03E-08,2.76E-09
2073.30176,5.98E-08,2.71E-09
2082.16333,5.93E-08,2.67E-09
2091.06274,5.88E-08,2.63E-09
2100.00024,5.83E-08,2.58E-09
