Si,Density=2.33,
"Energy(eV),","Delta,",Beta
28023.3203,6.15E-07,1.28E-09
28214.9805,6.07E-07,1.25E-09
28407.9531,5.99E-07,1.21E-09
28602.2441,5.91E-07,1.18E-09
28797.8633,5.83E-07,1.15E-09
28994.8223,5.75E-07,1.12E-09
29193.125,5.67E-07,1.10E-09
29392.7852,5.59E-07,1.07E-09
29593.8125,5.52E-07,1.04E-09
29796.2129,5.44E-07,1.01E-09
30000,5.37E-07,9.89E-10
